Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment
,,,,,,,,,,
D1,D_1206_L,72.3646mm,-72.6694mm,,,,,top,0,DIODE
D3,D_1206_L,80.0354mm,-88.8746mm,,,,,top,90,DIODE
D5,D_1206_L,80.0354mm,-117.5258mm,,,,,top,90,DIODE
D7,D_1206_L,56.6674mm,-145.3642mm,,,,,top,25,DIODE
D9,D_1206_L,37.9730mm,-150.2410mm,,,,,top,25,DIODE
D11,D_1206_L,91.4146mm,-72.6694mm,,,,,top,0,DIODE
D13,D_1206_L,91.4146mm,-91.7702mm,,,,,top,0,DIODE
D15,D_1206_L,91.4146mm,-110.8710mm,,,,,top,0,DIODE
D17,D_1206_L,91.3638mm,-129.8702mm,,,,,top,0,DIODE
D19,D_1206_L,73.9394mm,-137.3886mm,,,,,top,25,DIODE
D21,D_1206_L,55.1434mm,-142.1130mm,,,,,top,25,DIODE
D23,D_1206_L,110.4646mm,-71.4502mm,,,,,top,0,DIODE
D25,D_1206_L,110.4646mm,-90.4494mm,,,,,top,0,DIODE
D27,D_1206_L,110.4646mm,-109.5502mm,,,,,top,0,DIODE
D29,D_1206_L,110.4138mm,-128.6002mm,,,,,top,0,DIODE
D31,D_1206_L,110.4138mm,-147.6502mm,,,,,top,0,DIODE
D33,D_1206_L,45.9486mm,-167.5130mm,,,,,top,25,DIODE
D35,D_1206_L,129.4638mm,-69.8246mm,,,,,top,0,DIODE
D37,D_1206_L,129.5146mm,-88.9254mm,,,,,top,0,DIODE
D39,D_1206_L,129.4638mm,-107.9754mm,,,,,top,0,DIODE
D41,D_1206_L,129.5654mm,-126.9746mm,,,,,top,0,DIODE
D43,D_1206_L,129.4638mm,-146.0754mm,,,,,top,0,DIODE
D45,D_1206_L,88.2142mm,-149.9362mm,,,,,top,115,DIODE
D47,D_1206_L,148.5138mm,-71.4502mm,,,,,top,0,DIODE
D49,D_1206_L,148.4630mm,-90.5002mm,,,,,top,0,DIODE
D51,D_1206_L,148.5646mm,-109.5502mm,,,,,top,0,DIODE
D53,D_1206_L,148.5646mm,-128.6002mm,,,,,top,0,DIODE
D55,D_1206_L,148.5646mm,-147.6502mm,,,,,top,0,DIODE
D57,D_1206_L,70.9422mm,-157.9626mm,,,,,top,115,DIODE
D59,D_1206_L,167.5638mm,-74.6506mm,,,,,top,0,DIODE
D61,D_1206_L,167.6146mm,-93.6498mm,,,,,top,0,DIODE
D63,D_1206_L,167.5638mm,-112.7506mm,,,,,top,0,DIODE
D65,D_1206_L,167.6146mm,-131.8006mm,,,,,top,0,DIODE
D67,D_1206_L,167.6146mm,-150.7998mm,,,,,top,0,DIODE
D69,D_1206_L,53.9750mm,-184.7342mm,,,,,top,25,DIODE
D71,D_1206_L,191.3890mm,-74.5998mm,,,,,top,0,DIODE
D73,D_1206_L,191.3890mm,-93.7006mm,,,,,top,0,DIODE
D75,D_1206_L,191.3890mm,-112.6998mm,,,,,top,0,DIODE
D77,D_1206_L,191.4398mm,-131.7498mm,,,,,top,0,DIODE
D79,D_1206_L,186.6646mm,-150.7998mm,,,,,top,0,DIODE
